"Title","Views","Likes"
"apple pay killing physical wallet eight years tech news briefing podcast wsj",135612,3407
" expensive thing ",1758063,76779
" new house gaming setup sick",1564007,63825
"petrol vs liquid nitrogen freezing experiment പെട്രോളിനെ ഐസ് ആകാൻ പറ്റുമോ m4 tech ",922918,71566
"best back school tech 2022",1855644,96513
"brewmaster answers beer questions twitter tech support wired",943119,33570
"tech monopolies last week tonight john oliver hbo",5937790,135047
" bought strangest tech internet",4782514,216935
"15 emerging technologies will change world",7001236,45565
"toxicologist answers poison questions twitter tech support wired",667767,24252
"dope tech extreme gaming monitor",2359142,118001
"cool tech 50 august",413179,20999
"cool back school tech 2022 🔥 100",389114,15322
"best techedc gifts 50 father39s day gift guide 2022",444953,17866
" massive tech unboxing 470",371563,13217
" millennials leaving sixfigure tech jobs",1633059,26890
"10 coolest gadgets inventions will blow mind",760249,9562
"17 coolest gadgets can actually buy",1086568,11743
"almost everyone wasting money dash cams",3186890,146978
" bought thinnest tech world",11422924,363771
"iphone 14 lineup expected plot twist",63650,2117
"doctor answers gut questions twitter tech support wired",1280387,42841
"cool tech 50 july",530889,23689
"wolfgang puck answers restaurant questions twitter tech support wired",2122433,55231
"battle tech super bike vs world superbike",35948,1289
"oneplus 10r vs 10t unboxing amp comparison",23175,970
"tech hiring slowdown ’s different time tech news briefing podcast wsj",78520,1608
"10 new tech gadgets 2022 can buy right now",63599,1452
"taste expert answers questions twitter tech support wired",1006704,35758
"audiologist answers hearing questions twitter tech support wired",257848,8725
"james dyson answers design questions twitter tech support wired",2954979,110145
" massive tech unboxing 460",304037,12188
"cool tech 50 april",1541386,59458
"15 emerging technologies will change world",589007,3494
"veterinarian answers pet questions twitter tech support wired",1085076,36423
" best position descending gcn tech clinic",25594,941
" everyday tech 2022",4098623,134194
"inventions future will soon available everyone",7188648,42075
"twitter whistleblower accuses company privacy security issues tech news briefing podcast wsj",25745,709
" terrible job intel 5000 extreme tech upgrade",1889567,78852
"cool tech 50 june",786765,32102
"18 deadly tech fails need banned",4195072,188623
" bought biggest tech world",9618335,343227
"neil gaiman answers mythology questions twitter tech support wired",791624,43960
"sushi chef answers sushi questions twitter tech support wired",2474364,77411
"futurum research39s daniel newman breaks tech stocks watch",3461,24
" favorite tech month",274201,4492
"paleontologist answers dinosaur questions twitter tech support wired",1156785,51846
" biden39s student loan forgiveness program will work",97434,1029
"primary results new york florida hold national implications democrats",57858,534
"excia director predicts what39s next russiaukraine war",544884,8526
"president zelenskyy promises victory russia ukrainian independence day",69951,588
"6 months later what39s next ukraine war l abc news",18531,137
" 700 pages classified documents found maralago",86855,848
"nadler celebrates win new york house primary",131012,827
"biden announces plan federal student loan debt relief",54596,1200
"morning news now full broadcast aug 23",235019,1167
"biden plans forgive 300 billion student loan debt report",60528,1573
"abc news live trump files motion bar review materials seized maralago",106127,1145
" 100 classified trump docs recovered maralago january",75301,474
"national shutdown workers hit streets rising cost living pretoria gp",17145,82
"jornal da manhã 24082022",500097,23828
"trump legal team trying stop department justice reviewing records seized maralago",127082,775
"netanyahu will make middle east nuclear powder keg",237313,8484
"nightly news full broadcast aug 19",905023,7946
"americans angry worried us future new nbc news poll shows",34715,510
"breaking news jharkhand के cm hemant soren के करीबी पर ed ने कसी नकेल prem prakash ranchi news",10642,129
"zee hindustan live news attack nitish kumar convoy bihar news tejashwi yadav bihar politics",172513,1288
